candidate_id,current_level,offered_level,seniority_jump,years_experience,months_in_current_role,notice_period_days,current_salary,offered_salary,salary_increase_pct,remote_policy_match,interview_score,recruiter_sentiment,hiring_manager_sentiment,process_length_days,response_time_hours,competing_offers,employer_brand_score,technical_test_score,candidate_nps,relocation_required,visa_required,stage_drop_risk,offer_accepted
CAND-0001,Mid,Mid,0,5,43,14,483823,580000,19.8,0,4.15,3.7,4.9,17,22.3,1,4.5,49.0,69,0,1,0.372,1
CAND-0002,Director,Director,0,18,51,30,1124526,1255000,11.6,1,3.06,4.2,4.7,14,9.2,0,3.8,,17,1,0,0.102,1
CAND-0003,Senior,Director,2,10,29,30,775004,899000,16.0,1,3.76,3.1,2.5,33,3.1,0,4.0,79.7,56,0,1,0.195,1
CAND-0004,Mid,Mid,0,7,34,30,621292,662000,6.6,0,3.62,4.1,4.4,36,18.4,0,3.5,,67,1,0,0.18,0
CAND-0005,Junior,Junior,0,2,19,30,454090,546000,20.3,1,3.82,4.3,3.8,44,20.6,0,3.7,86.9,68,0,0,0.191,1
CAND-0006,Junior,Mid,1,2,17,0,447965,508000,13.3,0,2.79,3.3,2.8,42,1.1,0,3.7,,62,0,0,0.198,1
CAND-0007,Junior,Junior,0,1,12,60,408208,455000,11.5,1,3.75,3.6,3.2,20,5.3,1,3.9,,-11,0,0,0.342,1
CAND-0008,Lead,Director,1,15,24,60,1024052,1134000,10.7,0,3.34,3.1,2.8,21,6.1,0,3.5,68.6,-75,1,0,0.176,0
CAND-0009,Mid,Mid,0,7,26,30,490510,556000,13.4,1,3.7,4.9,3.4,42,13.7,1,4.5,,28,0,0,0.334,0
CAND-0010,Senior,Lead,1,10,37,14,815117,897000,10.0,0,2.99,3.5,2.7,22,5.5,0,3.5,,42,0,0,0.153,1
CAND-0011,Junior,Junior,-1,1,23,60,390537,468000,19.9,1,3.09,2.9,2.5,17,11.7,1,2.7,63.1,-59,0,0,0.393,0
CAND-0012,Director,Director,0,20,43,90,1085935,1199000,10.4,0,4.32,3.0,3.8,23,9.9,0,5.0,,85,0,0,0.196,1
CAND-0013,Senior,Director,2,12,26,30,709134,910000,28.3,1,2.76,3.7,4.0,19,10.4,1,3.5,,30,0,0,0.346,1
CAND-0014,Junior,Junior,0,3,30,30,452254,575000,27.2,1,2.82,4.2,3.2,12,6.0,0,4.5,,93,0,0,0.09,1
CAND-0015,Junior,Mid,1,3,10,14,393782,417000,6.0,0,3.46,2.5,4.6,57,6.4,0,4.5,51.1,-19,1,0,0.293,1
CAND-0016,Junior,Junior,0,3,31,30,445587,511000,14.6,0,2.96,5.0,3.2,60,4.1,0,4.3,53.2,-61,1,0,0.144,1
CAND-0017,Mid,Mid,0,4,19,14,562238,608000,8.1,0,2.88,3.8,3.1,17,17.8,1,3.6,67.2,50,0,0,0.354,0
CAND-0018,Mid,Senior,1,6,22,30,555720,617000,11.1,1,3.57,4.0,4.0,12,21.6,1,3.9,58.6,-7,0,0,0.341,1
CAND-0019,Mid,Junior,-1,5,15,60,558004,737000,32.0,0,2.45,3.5,3.3,47,5.6,0,2.9,73.0,95,0,0,0.208,1
CAND-0020,Mid,Senior,1,4,24,30,502072,558000,11.2,1,2.79,3.6,3.5,17,55.7,0,4.9,59.2,-91,0,0,0.261,1
CAND-0021,Mid,Lead,2,7,39,30,561015,658000,17.2,0,4.94,3.5,1.1,24,8.9,0,3.2,91.9,40,1,0,0.166,1
CAND-0022,Junior,Mid,1,2,29,30,474003,564000,18.9,1,3.82,4.4,3.4,12,56.3,0,3.5,78.4,95,0,0,0.203,1
CAND-0023,Mid,Lead,2,4,39,30,552746,580000,5.0,1,2.98,3.6,1.8,17,6.4,1,3.8,78.2,36,1,0,0.338,0
CAND-0024,Mid,Mid,0,5,35,0,582260,619000,6.3,0,3.79,4.2,2.3,52,1.6,1,3.6,58.9,-44,1,0,0.368,0
CAND-0025,Mid,Mid,0,6,18,14,617129,636000,3.1,1,3.9,3.3,2.2,54,18.2,1,3.3,,22,0,1,0.468,0
CAND-0026,Senior,Senior,0,12,32,60,768259,814000,6.0,0,4.2,3.8,2.5,16,15.6,1,4.5,61.4,52,0,0,0.347,0
CAND-0027,Junior,Mid,1,3,16,14,410916,378000,-8.0,1,3.41,3.0,2.9,22,12.6,1,4.3,57.3,-8,0,0,0.4,1
CAND-0028,Mid,Lead,2,6,43,60,507268,603000,18.9,0,4.18,4.6,3.0,14,6.4,0,3.9,,48,0,1,0.071,1
CAND-0029,Mid,Mid,0,7,18,90,503259,667000,32.5,0,2.07,2.9,4.0,12,11.8,0,3.5,,87,0,0,0.182,1
CAND-0030,Junior,Mid,1,1,32,30,433583,500000,15.3,0,2.76,3.3,3.6,88,7.3,0,4.3,55.7,90,1,0,0.316,1
CAND-0031,Mid,Mid,0,7,38,30,559400,567000,1.3,1,3.61,3.3,1.7,40,9.0,0,3.4,100.0,-65,0,1,0.213,0
CAND-0032,Junior,Mid,1,3,42,30,414293,448000,8.2,0,3.73,3.3,3.5,32,28.3,1,4.6,82.6,-17,0,0,0.444,1
CAND-0033,Junior,Mid,1,1,19,60,387043,425000,9.9,1,2.86,4.2,3.7,49,14.6,1,3.8,68.1,17,0,0,0.393,0
CAND-0034,Director,Director,2,18,55,90,1161502,1217000,4.8,0,3.68,3.3,3.1,58,22.4,1,4.4,100.0,63,0,0,0.487,1
CAND-0035,Director,Director,1,20,70,60,1087009,1323000,21.7,1,3.06,4.7,3.3,54,9.7,0,3.6,,32,0,0,0.162,1
CAND-0036,Senior,Senior,0,12,29,14,678893,823000,21.3,0,3.31,2.9,3.6,10,8.7,0,3.7,67.8,87,0,1,0.17,1
CAND-0037,Mid,Mid,0,4,14,60,506309,525000,3.6,0,4.22,3.7,4.1,16,3.8,1,4.4,100.0,76,0,0,0.323,1
CAND-0038,Junior,Junior,0,2,5,30,403284,486000,20.5,1,4.14,3.0,2.0,40,8.4,1,5.0,77.9,-40,0,0,0.43,1
CAND-0039,Senior,Senior,0,8,43,30,766801,979000,27.7,0,2.8,3.9,3.2,23,0.5,0,4.6,77.2,66,0,0,0.118,1
CAND-0040,Mid,Mid,0,6,11,0,593259,778000,31.1,1,2.76,3.6,4.8,85,6.8,1,4.2,62.2,-35,0,0,0.49,1
CAND-0041,Junior,Mid,1,2,20,14,449000,628000,39.8,0,3.21,3.5,4.7,41,11.2,1,4.1,68.7,12,0,1,0.409,1
CAND-0042,Mid,Senior,1,6,34,60,564179,597000,5.9,0,3.48,4.6,4.2,78,21.4,0,3.4,61.8,-11,1,0,0.251,1
CAND-0043,Junior,Mid,1,1,25,30,442107,616000,39.4,1,3.04,3.1,3.9,16,9.3,0,3.9,89.6,-12,0,0,0.173,1
CAND-0044,Lead,Lead,0,15,46,30,885049,981000,10.8,1,4.23,4.1,4.9,61,17.2,1,3.2,43.9,65,0,0,0.433,1
CAND-0045,Mid,Senior,1,4,32,30,509265,554000,8.7,0,3.74,3.0,5.0,21,1.4,1,3.9,88.5,60,0,0,0.37,1
CAND-0046,Senior,Lead,1,8,48,60,852562,997000,16.9,1,3.78,3.7,3.3,87,11.5,0,4.0,54.8,-11,0,0,0.3,1
CAND-0047,Mid,Mid,0,4,20,60,503880,548000,8.8,1,2.61,2.6,2.5,15,2.3,1,2.5,67.1,100,0,0,0.383,1
CAND-0048,Mid,Senior,1,6,23,30,564579,664000,17.6,1,4.32,3.1,3.2,31,3.6,1,3.7,63.6,42,0,0,0.392,1
CAND-0049,Mid,Senior,1,7,22,14,611327,624000,2.1,1,1.53,3.5,5.0,52,10.1,1,3.9,60.2,-42,1,0,0.431,0
CAND-0050,Junior,Junior,0,3,32,30,381502,427000,11.9,1,4.08,5.0,2.0,26,43.7,0,3.6,78.3,-32,0,1,0.167,1
CAND-0051,Director,Director,1,20,57,90,1181264,1484000,25.6,1,4.15,3.7,3.0,28,17.7,1,3.9,67.9,62,0,0,0.384,1
CAND-0052,Senior,Lead,1,10,40,30,705424,801000,13.5,1,3.2,4.9,2.1,86,12.4,0,2.9,,99,0,0,0.228,0
CAND-0053,Director,Director,0,18,59,30,1313110,1514000,15.3,1,4.39,3.8,3.5,26,11.9,1,3.2,,60,0,0,0.36,1
CAND-0054,Lead,Director,2,15,30,30,992438,1174000,18.3,1,3.46,3.3,2.3,36,6.0,1,4.3,,96,1,0,0.397,1
CAND-0055,Mid,Senior,1,7,46,30,638497,795000,24.5,1,3.54,4.8,3.3,11,7.1,0,3.7,,45,0,0,0.054,1
CAND-0056,Director,Director,1,18,63,60,1225352,1214000,-0.9,0,3.74,3.9,1.6,58,18.7,0,3.9,45.5,44,0,0,0.242,0
CAND-0057,Junior,Mid,1,2,31,30,447396,534000,19.3,0,5.0,3.1,4.0,39,3.0,1,3.4,61.2,52,0,1,0.408,1
CAND-0058,Junior,Junior,0,3,41,14,451694,504000,11.6,1,4.44,4.0,4.5,25,22.0,1,3.7,75.4,74,1,0,0.371,1
CAND-0059,Junior,Mid,1,1,7,14,385806,446000,15.5,0,3.99,3.4,3.1,10,8.3,0,2.3,,33,0,0,0.139,1
CAND-0060,Mid,Senior,1,4,24,30,497106,614000,23.5,0,2.86,2.0,3.3,35,27.8,0,4.2,95.2,89,0,1,0.327,1
CAND-0061,Mid,Mid,0,5,22,90,536731,554000,3.3,1,3.6,4.3,3.3,10,31.9,0,4.8,100.0,-78,0,0,0.144,1
CAND-0062,Mid,Senior,1,4,37,30,555010,582000,4.9,1,2.93,4.5,3.6,10,2.3,0,3.1,,44,1,0,0.058,1
CAND-0063,Senior,Lead,1,12,25,60,853605,825000,-3.4,1,4.08,5.0,3.4,37,6.8,1,3.1,55.5,53,1,0,0.299,1
CAND-0064,Mid,Senior,1,5,37,60,512599,559000,9.1,0,3.6,3.9,4.1,16,5.2,1,4.0,,64,0,1,0.315,1
CAND-0065,Mid,Mid,0,4,43,30,551326,695000,26.0,1,2.71,3.4,4.5,16,2.0,1,4.6,,17,1,0,0.337,1
CAND-0066,Mid,Senior,1,7,36,0,555706,627000,12.9,0,3.56,4.3,2.7,40,4.3,0,3.7,85.0,42,0,0,0.142,1
CAND-0067,Junior,Junior,0,2,26,14,389004,396000,1.9,0,2.91,4.3,3.1,11,120.0,1,3.0,74.0,50,0,0,0.566,1
CAND-0068,Senior,Senior,0,12,26,60,755018,827000,9.6,1,3.61,4.9,4.2,21,22.4,0,3.6,65.1,73,0,0,0.109,0
